MONTH,YEAR,REGION,Area,"Number of
Reservoirs","Total Capacity
 
 1000 AF","Hist Ave
 
 1000 AF","Previous year 
 
 1000 AF","Current year 
 
 1000 AF","% 
 
Ave","% 
 
Cap"
3,2012,Central,SAN JOAQUIN,34,11440.4,7536.9,9141.4,8378.2,111,73
3,2012,South,TULARE LAKE,6,2087.4,915.3,1229.7,1038.3,113,50
3,2012,North,NORTH LAHONTAN,5,1072,547.4,551.7,755.7,138,70
3,2012,South,SOUTH LAHONTAN,8,402.5,266.9,291.6,299.1,112,74
4,2012,North,NORTH COAST,6,3096.3,2459.4,2779.6,2793.2,114,90
4,2012,North,SAN FRANCISCO BAY,17,688,529.9,556.3,486.6,92,71
4,2012,Central,CENTRAL COAST,6,970.3,711.3,897.8,728.4,102,75
4,2012,South,SOUTH COAST,29,1973.8,1524.2,1634.4,1431.4,94,73
4,2012,North,SACRAMENTO,43,16001.7,13043.1,14147,14915.8,114,93
4,2012,Central,SAN JOAQUIN,34,11440.4,7773,8940.5,8940.5,115,78
4,2012,South,TULARE LAKE,6,2087.4,1062,1193.1,1291.4,122,62
4,2012,North,NORTH LAHONTAN,5,1072,585.7,640.1,818.1,140,76
4,2012,South,SOUTH LAHONTAN,8,402.5,261.5,274.9,304.4,116,76
5,2012,North,NORTH COAST,6,3096.3,2550,2728.1,2764.6,108,89
5,2012,North,SAN FRANCISCO BAY,17,688,515.3,537.9,483.2,94,70
5,2012,Central,CENTRAL COAST,6,970.3,693.9,891.5,697,100,72
5,2012,South,SOUTH COAST,29,1973.8,1514.8,1605.1,1445,95,73
5,2012,North,SACRAMENTO,43,16001.7,13519.5,14848.5,14857.7,110,93
5,2012,Central,SAN JOAQUIN,34,11440.4,8303.4,9297.9,8785.3,106,77
5,2012,South,TULARE LAKE,6,2087.4,1365.9,1358.2,1467.8,107,70
5,2012,North,NORTH LAHONTAN,5,1072,654,751.3,849.3,130,79
5,2012,South,SOUTH LAHONTAN,8,402.5,269.6,266,311.3,115,77
6,2012,North,NORTH COAST,6,3096.3,2500.7,2874.1,2627.2,105,85
6,2012,North,SAN FRANCISCO BAY,17,688,494.3,530.3,469.5,95,68
6,2012,Central,CENTRAL COAST,6,970.3,662.2,877.4,654.6,99,67
6,2012,South,SOUTH COAST,29,1973.8,1472.8,1586.8,1412.1,96,72
6,2012,North,SACRAMENTO,43,16001.7,13059,15167.9,13773.7,105,86
6,2012,Central,SAN JOAQUIN,34,11440.4,8301.2,10592.3,7905.1,95,69
6,2012,South,TULARE LAKE,6,2087.4,1360.7,1786.7,1127.9,83,54
6,2012,North,NORTH LAHONTAN,5,1072,683.4,945.3,804.2,118,75
6,2012,South,SOUTH LAHONTAN,8,402.5,297.8,301.1,294.4,99,73
7,2012,North,NORTH COAST,6,3096.3,2335.6,2809.9,2468.6,106,80
7,2012,North,SAN FRANCISCO BAY,17,688,469.4,515,453.2,97,66
7,2012,Central,CENTRAL COAST,6,970.3,622.2,836.2,610.1,98,63
7,2012,South,SOUTH COAST,29,1973.8,1420.6,1556.4,1365.9,96,69
7,2012,North,SACRAMENTO,43,16001.7,11809,14481.4,11972.4,101,75
7,2012,Central,SAN JOAQUIN,34,11440.4,7552.6,10506.8,7066.3,94,62
7,2012,South,TULARE LAKE,6,2087.4,1053,1658.6,648.1,62,31
7,2012,North,NORTH LAHONTAN,5,1072,649.7,992.2,739.6,114,69
7,2012,South,SOUTH LAHONTAN,8,402.5,306.5,331.7,278.9,91,69
8,2012,North,NORTH COAST,6,3096.3,2151.2,2683.2,2291.6,107,74
8,2012,North,SAN FRANCISCO BAY,17,688,444.7,499,440.2,99,64
8,2012,Central,CENTRAL COAST,6,970.3,578.6,797.2,557.1,96,57
8,2012,South,SOUTH COAST,29,1973.8,1367.9,1519.4,1339.4,98,68
8,2012,North,SACRAMENTO,43,16001.7,10621.4,13297,10485.6,99,66
8,2012,Central,SAN JOAQUIN,34,11440.4,6771.7,9477.2,6410.5,95,56
8,2012,South,TULARE LAKE,6,2087.4,785.9,1273.3,440.8,56,21
8,2012,North,NORTH LAHONTAN,5,1072,574,929.5,662.5,115,62
8,2012,South,SOUTH LAHONTAN,8,402.5,292.1,341.7,256.6,88,64
9,2012,North,NORTH COAST,6,3096.3,1988.3,2543.3,2132,107,69
9,2012,North,SAN FRANCISCO BAY,17,688,420.5,484.1,428.9,102,62
9,2012,Central,CENTRAL COAST,6,970.3,546.4,761.1,511.9,94,53
9,2012,South,SOUTH COAST,29,1973.8,1325.6,1446.6,1301.3,98,66
9,2012,North,SACRAMENTO,43,16001.7,9912.2,12290,9647.9,97,60
9,2012,Central,SAN JOAQUIN,34,11440.4,6399.7,8829.4,6072.5,95,53
9,2012,South,TULARE LAKE,6,2087.4,678.7,1021.9,398.5,59,19
9,2012,North,NORTH LAHONTAN,5,1072,507.5,854.8,585.2,115,55
9,2012,South,SOUTH LAHONTAN,8,402.5,279.3,321,233.1,83,58
10,2012,North,NORTH COAST,6,3096.3,1894.2,2416.5,2045.4,108,66
10,2012,North,SAN FRANCISCO BAY,17,688,402.2,473.3,412.9,103,60
10,2012,Central,CENTRAL COAST,6,970.3,524.8,727.2,482.2,92,50
10,2012,South,SOUTH COAST,29,1973.8,1285,1416.5,1207.4,94,61
10,2012,North,SACRAMENTO,43,16001.7,9492.6,11706.9,9052.7,95,57
10,2012,Central,SAN JOAQUIN,34,11440.4,6176.2,8533.3,5821.3,94,51
10,2012,South,TULARE LAKE,6,2087.4,637.4,913.1,387.5,61,19
10,2012,North,NORTH LAHONTAN,5,1072,465.4,805.3,527.2,113,49
